Year,Jan,Feb,March,April,May,June,July,August,September,October,November,December,Annual,Station_Number,Type_data
2014,-10.5,-10.5,-0.5,4.4,17.1,17.8,19.4,20.2,12.6,1.7,-3.2,-6.6,5.2,27595,Av_Temp
2015,-9.7,-6.5,-2.0,4.5,16.4,21.0,18.5,16.7,15.8,3.0,-1.3,-3.0,6.1,27595,Av_Temp
2016,-12.3,-2.6,-1.3,8.0,15.6,18.5,22.5,23.9,11.6,4.0,-4.6,-10.8,6.0,27595,Av_Temp
2017,-11.5,-7.2,-1.1,4.7,11.0,15.6,19.7,19.6,12.3,4.7,-0.1,-4.9,5.2,27595,Av_Temp
2018,-9.4,-11.0,-8.2,4.6,14.4,16.9,22.3,19.8,14.1,6.2,-2.6,-8.1,4.9,27595,Av_Temp
2019,-10.3,-7.2,-1.2,6.3,16.4,19.0,18.5,16.0,10.9,7.9,-2.1,-4.2,5.8,27595,Av_Temp
2020,-3.0,-3.4,2.6,5.2,13.7,16.8,22.2,17.2,13.3,7.2,-2.6,-11.0,6.5,27595,Av_Temp
2021,-9.9,-15.2,-4.7,6.6,18.1,22.4,22.0,22.3,9.8,6.5,-0.4,-8.0,5.8,27595,Av_Temp
2022,-9.8,-3.2,-4.5,5.8,10.0,18.1,21.6,23.3,11.8,6.5,-1.8,-8.1,5.8,27595,Av_Temp
2023,-11.6,-7.7,1.3,10.3,16.3,16.6,21.8,20.5,15.5,5.8,0.3,-8.5,6.7,27595,Av_Temp
2024,-12.8,-10.7,-1.1,11.2,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,27595,Av_Temp
1829,6,5,59,24,18,43,17,33,5,14,-999,8,-999,27595,Sum_Precip
1830,10,3,-999,9,14,47,89,20,20,44,66,22,-999,27595,Sum_Precip
1831,14,4,12,20,34,47,78,118,64,14,31,22,458,27595,Sum_Precip
1832,-999,-999,-999,10,52,66,56,56,68,-999,-999,-999,-999,27595,Sum_Precip
1833,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,27595,Sum_Precip
1834,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,27595,Sum_Precip
1835,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,27595,Sum_Precip
1836,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,27595,Sum_Precip
1837,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,27595,Sum_Precip
1838,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,27595,Sum_Precip
1839,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,27595,Sum_Precip
1840,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,27595,Sum_Precip
1841,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,27595,Sum_Precip
1842,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,27595,Sum_Precip
1843,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,27595,Sum_Precip
1844,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,27595,Sum_Precip
1845,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,27595,Sum_Precip
1846,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,27595,Sum_Precip
1847,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,27595,Sum_Precip
1848,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,27595,Sum_Precip
1849,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,27595,Sum_Precip
1850,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,27595,Sum_Precip
1851,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,27595,Sum_Precip
1852,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,27595,Sum_Precip
1853,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,27595,Sum_Precip
1854,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,27595,Sum_Precip
1855,3,11,7,0.6,63,12,56,28,41,11,10,10,252,27595,Sum_Precip
1856,11,13,22,5,44,20,51,34,21,7,8,22,258,27595,Sum_Precip
1857,6,9,9,12,27,77,82,35,9,12,11,1,290,27595,Sum_Precip
1858,4,11,14,53,15,56,82,39,24,21,3,10,333,27595,Sum_Precip
1859,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,27595,Sum_Precip
1860,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,27595,Sum_Precip
1861,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,27595,Sum_Precip
1862,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,27595,Sum_Precip
1863,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,27595,Sum_Precip
1864,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,27595,Sum_Precip
1865,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,27595,Sum_Precip
1866,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,27595,Sum_Precip
1867,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,27595,Sum_Precip
1868,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,27595,Sum_Precip
1869,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,27595,Sum_Precip
1870,19,0.2,2,2,44,93,95,61,49,47,43,8,463,27595,Sum_Precip
1871,5,4,5,31,80,41,40,33,78,24,12,10,363,27595,Sum_Precip
1872,6,12,8,55,44,29,60,16,72,8,33,22,364,27595,Sum_Precip
1873,16,3,6,40,40,22,128,113,65,23,13,18,488,27595,Sum_Precip
1874,7,8,5,60,110,46,93,89,19,22,42,22,522,27595,Sum_Precip
1875,16,7,9,31,40,101,43,111,52,56,21,15,501,27595,Sum_Precip
1876,17,10,7,36,42,73,90,68,33,29,48,18,471,27595,Sum_Precip
1877,7,9,36,50,8,23,78,64,92,11,7,0.0,384,27595,Sum_Precip
1878,19,38,12,20,79,37,150,34,27,4,30,34,483,27595,Sum_Precip
1879,6,15,15,28,34,71,48,102,16,30,17,17,399,27595,Sum_Precip
1880,18,7,11,25,42,88,38,26,48,38,22,19,381,27595,Sum_Precip
1881,11,3,18,14,11,82,27,86,49,26,22,8,358,27595,Sum_Precip
1882,14,11,11,6,30,89,17,25,11,15,108,12,348,27595,Sum_Precip
1883,17,5,48,0.3,43,43,37,44,29,52,12,16,347,27595,Sum_Precip
1884,14,11,4,28,59,39,48,36,46,20,14,29,347,27595,Sum_Precip
1885,16,5,5,30,50,54,23,114,108,49,20,14,487,27595,Sum_Precip
1886,11,4,2,4,53,90,52,47,41,9,19,26,358,27595,Sum_Precip
1887,11,7,18,14,28,48,115,92,7,67,22,25,455,27595,Sum_Precip
1888,37,5,9,8,33,85,76,107,28,56,24,21,489,27595,Sum_Precip
1889,19,22,11,23,20,91,28,47,44,42,24,8,376,27595,Sum_Precip
1890,25,9,21,12,32,76,48,42,25,73,20,12,394,27595,Sum_Precip
1891,13,32,38,8,19,29,33,77,56,34,33,46,416,27595,Sum_Precip
1892,53,15,26,15,22,55,59,50,34,76,9,24,439,27595,Sum_Precip
1893,13,52,32,85,18,73,29,44,50,62,69,47,573,27595,Sum_Precip
1894,26,61,25,8,37,75,82,67,77,35,50,25,567,27595,Sum_Precip
1895,43,42,68,28,22,17,56,55,41,19,28,28,446,27595,Sum_Precip
1896,20,8,11,22,81,92,94,21,48,33,81,11,521,27595,Sum_Precip
1897,34,40,23,18,11,47,40,36,42,31,25,16,362,27595,Sum_Precip
1898,38,22,6,18,14,27,43,15,62,55,54,46,401,27595,Sum_Precip
1899,39,8,33,32,28,104,145,63,71,76,43,14,656,27595,Sum_Precip
1900,20,22,24,34,50,48,123,17,48,29,20,44,481,27595,Sum_Precip
1901,36,34,62,9,32,57,24,25,11,18,56,69,432,27595,Sum_Precip
1902,54,45,32,52,23,53,39,93,79,64,34,35,602,27595,Sum_Precip
1903,51,33,17,10,91,37,20,47,26,39,58,17,447,27595,Sum_Precip
1904,30,62,4,25,38,85,114,73,27,33,58,57,605,27595,Sum_Precip
1905,23,21,13,23,25,125,128,59,85,113,43,35,693,27595,Sum_Precip
1906,22,21,74,7,4,45,35,26,76,39,40,54,443,27595,Sum_Precip
1907,49,25,23,27,51,44,79,69,35,22,14,121,557,27595,Sum_Precip
1908,41,34,10,0.6,50,60,20,59,43,43,34,30,423,27595,Sum_Precip
1909,20,35,9,83,45,54,82,55,6,6,81,59,537,27595,Sum_Precip
1910,51,7,22,30,11,79,25,69,9,49,50,55,456,27595,Sum_Precip
1911,20,21,9,45,30,41,109,15,40,31,32,24,417,27595,Sum_Precip
1912,55,59,26,57,46,112,25,22,38,80,61,69,650,27595,Sum_Precip
1913,42,29,69,56,38,69,55,4,14,46,58,55,536,27595,Sum_Precip
1914,35,51,60,29,54,46,21,145,50,18,26,35,570,27595,Sum_Precip
1915,60,23,76,38,43,20,69,48,46,15,57,82,577,27595,Sum_Precip
1916,58,8,6,56,62,56,54,68,83,44,21,32,548,27595,Sum_Precip
1917,34,51,76,14,34,46,43,43,51,8,61,51,510,27595,Sum_Precip
1918,78,27,38,18,43,77,61,91,77,10,28,41,589,27595,Sum_Precip
1919,12,80,44,105,31,54,46,39,36,85,67,46,644,27595,Sum_Precip
1920,71,21,20,1,10,62,43,14,16,29,14,23,324,27595,Sum_Precip
1921,80,23,45,10,5,18,71,55,33,42,43,52,477,27595,Sum_Precip
1922,15,19,86,20,47,65,42,37,36,72,50,56,544,27595,Sum_Precip
1923,23,35,59,42,28,30,59,84,37,108,36,70,611,27595,Sum_Precip
1924,26,10,28,17,48,26,40,67,36,28,35,17,378,27595,Sum_Precip
1925,23,17,26,22,42,59,17,42,97,45,80,20,489,27595,Sum_Precip
1926,16,11,20,48,19,101,49,108,86,100,21,13,592,27595,Sum_Precip
1927,5,21,12,28,45,59,49,4,52,76,33,6,391,27595,Sum_Precip
1928,12,24,3,20,43,135,75,52,52,33,39,13,499,27595,Sum_Precip
1929,5,11,22,32,23,122,39,10,61,47,42,22,436,27595,Sum_Precip
1930,23,11,15,8,1,23,74,37,64,72,34,29,391,27595,Sum_Precip
1931,6,0.9,15,9,44,58,23,135,64,105,20,46,524,27595,Sum_Precip
1932,17,10,14,18,48,28,50,14,41,47,31,27,345,27595,Sum_Precip
1933,16,6,14,28,40,47,35,57,22,26,38,19,347,27595,Sum_Precip
1934,12,20,8,23,35,62,26,70,49,61,23,12,400,27595,Sum_Precip
1935,4,13,27,61,41,56,113,57,76,47,6,5,506,27595,Sum_Precip
1936,14,5,11,19,39,15,70,19,54,67,63,11,387,27595,Sum_Precip
1937,6,11,13,4,107,70,58,31,38,18,10,47,413,27595,Sum_Precip
1938,20,13,18,24,36,76,4,11,9,81,46,11,349,27595,Sum_Precip
1939,15,15,13,63,36,15,66,7,73,89,36,19,446,27595,Sum_Precip
1940,13,9,28,47,20,63,33,24,62,6,65,29,398,27595,Sum_Precip
1941,15,23,14,91,96,80,12,157,89,59,18,23,677,27595,Sum_Precip
1942,23,7,14,8,39,88,164,60,29,70,10,21,532,27595,Sum_Precip
1943,14,11,17,45,75,41,120,120,13,12,18,43,528,27595,Sum_Precip
1944,33,16,78,29,80,115,77,110,16,16,18,7,595,27595,Sum_Precip
1945,13,4,17,29,51,85,71,39,59,42,12,30,450,27595,Sum_Precip
1946,16,15,6,18,28,34,161,42,66,62,14,13,475,27595,Sum_Precip
1947,15,29,39,42,50,76,57,47,20,75,55,40,544,27595,Sum_Precip
1948,16,17,23,25,31,51,56,59,71,50,52,23,474,27595,Sum_Precip
1949,14,23,6,33,28,34,84,115,23,51,13,37,459,27595,Sum_Precip
1950,14,28,21,5,35,24,123,124,99,41,32,23,569,27595,Sum_Precip
1951,15,7,30,48,85,12,68,9,47,16,27,29,392,27595,Sum_Precip
1952,17,3,37,21,49,46,80,65,37,58,48,29,490,27595,Sum_Precip
1953,23,28,15,39,91,55,50,89,48,49,30,40,556,27595,Sum_Precip
1954,19,14,7,36,72,41,120,46,89,80,14,31,566,27595,Sum_Precip
1955,44,82,33,11,96,30,63,30,39,57,17,39,539,27595,Sum_Precip
1956,24,11,7,11,34,16,123,94,65,66,52,41,544,27595,Sum_Precip
1957,19,21,27,25,25,73,10,85,36,46,14,34,413,27595,Sum_Precip
1958,27,47,8,25,51,65,63,94,45,35,23,41,522,27595,Sum_Precip
1959,32,21,10,18,10,56,63,48,45,50,9,22,384,27595,Sum_Precip
1960,23,32,13,11,8,76,27,101,40,40,13,22,406,27595,Sum_Precip
1961,30,28,79,89,28,25,60,139,35,6,22,28,568,27595,Sum_Precip
1962,48,16,33,9,49,107,102,124,21,34,32,59,632,27595,Sum_Precip
1963,22,17,23,34,4,161,41,44,67,46,78,31,567,27595,Sum_Precip
1964,26,15,23,32,20,15,60,104,34,22,50,51,453,27595,Sum_Precip
1965,47,19,13,49,82,27,20,70,50,45,38,29,489,27595,Sum_Precip
1966,38,83,28,19,21,75,61,75,63,70,37,14,584,27595,Sum_Precip
1967,34,22,8,34,12,16,97,39,49,34,58,42,444,27595,Sum_Precip
1968,42,39,37,35,46,21,88,9,33,59,35,50,493,27595,Sum_Precip
1969,7,6,57,18,36,79,39,56,23,57,43,38,460,27595,Sum_Precip
1970,29,42,25,77,32,75,52,92,58,61,47,17,607,27595,Sum_Precip
1971,39,15,16,34,30,100,70,58,26,64,67,41,560,27595,Sum_Precip
1972,9,17,17,27,18,76,4,0.0,91,42,69,21,390,27595,Sum_Precip
1973,19,31,15,30,19,17,117,26,93,72,53,38,530,27595,Sum_Precip
1974,9,28,23,54,52,60,85,29,7,37,39,14,436,27595,Sum_Precip
1975,40,25,19,35,16,27,79,75,50,33,17,57,472,27595,Sum_Precip
1976,68,13,7,50,61,179,47,119,11,26,24,38,643,27595,Sum_Precip
1977,10,40,24,56,28,40,82,21,34,61,37,56,490,27595,Sum_Precip
1978,31,23,41,21,96,217,58,53,111,74,36,44,804,27595,Sum_Precip
1979,64,28,14,25,9,38,103,26,41,28,22,51,448,27595,Sum_Precip
1980,31,23,15,41,31,43,41,88,56,20,35,43,467,27595,Sum_Precip
1981,27,22,39,40,4,53,61,71,67,60,25,34,501,27595,Sum_Precip
1982,44,9,23,73,59,78,39,84,35,39,36,23,543,27595,Sum_Precip
1983,42,57,28,29,95,95,82,27,30,52,57,25,619,27595,Sum_Precip
1984,22,0.0,3,8,19,89,73,136,62,58,41,17,529,27595,Sum_Precip
1985,43,42,23,35,39,62,96,25,66,47,65,72,614,27595,Sum_Precip
1986,35,27,10,12,20,83,61,82,105,52,46,33,564,27595,Sum_Precip
1987,30,26,7,30,40,56,108,67,69,0.0,17,45,495,27595,Sum_Precip
1988,17,26,33,29,14,73,67,98,56,22,36,40,510,27595,Sum_Precip
1989,43,35,52,25,114,27,98,62,12,141,48,63,720,27595,Sum_Precip
1990,33,56,54,44,23,128,77,97,81,66,60,23,740,27595,Sum_Precip
1991,27,25,28,41,27,24,27,106,45,79,27,31,486,27595,Sum_Precip
1992,38,26,22,52,30,11,47,35,4,87,61,15,429,27595,Sum_Precip
1993,39,24,21,42,16,71,21,33,88,24,5,55,438,27595,Sum_Precip
1994,49,20,22,9,62,114,81,36,8,51,58,30,539,27595,Sum_Precip
1995,40,59,46,23,7,16,96,27,23,47,84,44,511,27595,Sum_Precip
1996,13,15,15,21,32,69,20,21,49,38,47,30,368,27595,Sum_Precip
1997,45,36,30,67,38,95,43,29,93,119,38,38,671,27595,Sum_Precip
1998,33,41,37,47,48,15,80,88,85,66,78,45,662,27595,Sum_Precip
1999,65,66,22,11,50,34,82,99,75,41,49,50,644,27595,Sum_Precip
2000,57,42,39,21,55,99,30,81,59,18,19,47,565,27595,Sum_Precip
2001,54,70,60,8,83,55,20,84,35,93,76,54,692,27595,Sum_Precip
2002,36,53,31,33,46,47,29,19,61,87,108,31,580,27595,Sum_Precip
2003,42,10,6,25,28,91,101,61,24,42,21,48,499,27595,Sum_Precip
2004,64,24,42,45,34,65,82,40,63,42,33,45,579,27595,Sum_Precip
2005,33,32,69,26,23,113,67,16,23,17,16,73,507,27595,Sum_Precip
2006,24,41,71,37,57,30,63,72,35,51,59,46,586,27595,Sum_Precip
2007,61,53,30,39,40,45,196,33,84,29,44,23,675,27595,Sum_Precip
2008,69,51,39,7,58,104,75,76,62,55,71,16,682,27595,Sum_Precip
2009,39,10,27,22,31,40,81,62,17,20,31,45,424,27595,Sum_Precip
2010,64,18,49,11,33,11,14,43,39,50,42,151,524,27595,Sum_Precip
2011,73,19,63,21,31,135,90,9,73,65,59,89,727,27595,Sum_Precip
2012,28,20,62,42,31,45,48,84,61,87,47,68,622,27595,Sum_Precip
2013,32,13,87,22,29,27,82,27,106,42,28,60,554,27595,Sum_Precip
2014,46,44,20,24,19,71,27,69,18,73,24,76,509,27595,Sum_Precip
2015,54,30,4,60,24,28,80,75,26,47,77,46,549,27595,Sum_Precip
2016,87,60,39,47,17,39,20,45,110,32,60,42,598,27595,Sum_Precip
2017,33,52,17,52,32,65,95,48,58,78,41,90,661,27595,Sum_Precip
2018,49,41,36,69,23,35,54,25,26,45,21,53,476,27595,Sum_Precip
2019,46,51,79,26,61,41,52,105,24,57,17,39,596,27595,Sum_Precip
2020,39,59,21,60,66,74,69,98,24,42,24,25,601,27595,Sum_Precip
2021,58,47,18,33,20,21,81,9,59,19,98,32,497,27595,Sum_Precip
2022,63,60,8,116,69,25,86,0,75,86,71,80,737,27595,Sum_Precip
2023,19,30,46,2,39,9,57,21,10,79,84,63,459,27595,Sum_Precip
2024,75,41,35,28,-999,-999,-999,-999,-999,-999,-999,-999,-999,27595,Sum_Precip
1951,-13.8,-15.7,-4.8,10.6,10.7,18.9,19.0,20.6,12.9,2.2,-7.6,-4.2,4.1,27679,Av_Temp
1952,-8.9,-10.0,-9.1,1.7,12.3,19.3,20.0,17.1,13.8,4.7,-2.7,-9.9,4.0,27679,Av_Temp
1953,-12.1,-18.0,-4.6,6.9,12.2,18.9,19.6,19.5,10.7,3.7,-5.8,-8.1,3.6,27679,Av_Temp
1954,-18.6,-21.0,-6.2,4.6,14.3,19.8,22.3,19.1,12.8,6.1,-1.8,-7.5,3.7,27679,Av_Temp
1955,-7.8,-6.8,-5.8,3.5,12.5,16.9,17.4,16.5,12.6,8.4,-4.1,-17.2,3.8,27679,Av_Temp
1956,-13.3,-21.5,-7.3,5.8,12.4,21.0,16.2,16.4,7.9,4.5,-8.4,-6.2,2.3,27679,Av_Temp
1957,-10.9,-4.4,-8.9,5.0,18.5,18.3,19.4,18.8,15.3,4.3,-4.6,-4.9,5.5,27679,Av_Temp
1958,-7.8,-9.4,-7.0,4.3,13.8,16.3,19.0,17.4,8.5,4.8,-3.0,-9.0,4.0,27679,Av_Temp
1959,-6.8,-10.2,-4.2,6.3,13.9,17.3,21.0,16.8,9.4,1.7,-6.3,-10.8,4.0,27679,Av_Temp
1960,-10.4,-9.8,-6.2,5.3,11.3,19.0,21.4,17.1,10.7,2.1,-7.0,-2.1,4.3,27679,Av_Temp
1961,-8.5,-5.6,-2.2,3.4,12.4,20.1,19.3,17.6,9.4,6.0,-5.1,-8.7,4.8,27679,Av_Temp
1962,-7.2,-7.4,-2.6,7.9,15.5,14.8,18.3,14.3,11.0,3.9,-0.2,-8.9,5.0,27679,Av_Temp
1963,-18.5,-12.2,-12.3,2.9,15.5,14.6,17.9,16.5,13.8,5.1,-1.8,-11.4,2.5,27679,Av_Temp
1964,-11.8,-13.2,-8.5,2.0,11.7,16.8,19.3,16.4,11.7,3.6,-3.5,-5.6,3.2,27679,Av_Temp
1965,-13.2,-13.6,-4.8,1.5,10.4,16.3,18.0,15.5,14.0,2.4,-6.6,-4.1,3.0,27679,Av_Temp
1966,-11.1,-12.5,-2.3,8.1,15.0,16.5,20.2,19.5,10.0,3.8,-2.8,-15.6,4.1,27679,Av_Temp
1967,-16.3,-14.3,-3.9,6.3,16.9,16.3,18.2,19.1,10.5,6.0,-1.1,-9.9,4.0,27679,Av_Temp
1968,-16.8,-12.0,-4.3,3.7,13.3,16.8,15.5,17.3,11.0,1.0,-4.2,-10.7,2.6,27679,Av_Temp
1969,-20.7,-17.6,-10.2,4.7,9.0,14.0,17.0,16.1,11.9,2.3,-2.0,-11.2,1.1,27679,Av_Temp
1970,-13.6,-8.9,-5.2,5.4,12.1,15.4,20.0,16.4,10.9,3.9,-3.8,-13.1,3.3,27679,Av_Temp
1971,-5.8,-14.2,-7.5,2.5,11.7,16.5,20.4,16.9,13.3,2.1,0.2,-8.5,4.0,27679,Av_Temp
1972,-20.1,-11.2,-6.1,6.0,13.3,18.2,22.2,23.2,10.1,4.4,-3.1,-3.3,4.5,27679,Av_Temp
1973,-14.3,-7.1,-4.7,9.0,13.9,18.7,16.5,15.6,7.3,2.2,-3.3,-6.6,3.9,27679,Av_Temp
1974,-14.7,-6.2,-2.0,3.7,12.3,16.6,19.7,16.2,13.7,7.9,-0.9,-7.2,4.9,27679,Av_Temp
1975,-7.7,-11.3,-1.5,11.3,16.3,18.2,19.6,15.4,14.0,2.2,-4.6,-6.8,5.4,27679,Av_Temp
1976,-13.7,-17.3,-8.6,4.8,11.6,15.4,15.9,15.3,10.0,-2.5,-3.9,-9.2,1.5,27679,Av_Temp
1977,-16.3,-11.7,-2.9,6.6,15.2,17.8,18.8,16.2,9.9,0.9,-0.3,-11.4,3.6,27679,Av_Temp
1978,-8.1,-11.8,-1.6,3.5,11.2,13.8,16.5,15.6,10.3,2.8,-1.6,-16.7,2.8,27679,Av_Temp
1979,-14.3,-11.4,-3.5,-0.8,17.0,14.8,17.9,17.6,11.5,2.4,-2.8,-5.3,3.6,27679,Av_Temp
1980,-12.9,-10.8,-8.2,5.1,12.0,16.5,16.9,13.1,10.7,3.3,-3.3,-4.7,3.1,27679,Av_Temp
1981,-7.4,-7.6,-6.5,1.9,12.5,20.3,22.7,19.9,11.0,6.7,-2.3,-5.7,5.5,27679,Av_Temp
1982,-12.1,-12.3,-5.1,5.2,12.7,13.4,19.0,17.2,12.3,2.3,-0.2,-2.7,4.1,27679,Av_Temp
1983,-5.7,-7.7,-7.5,10.2,13.0,14.3,19.1,17.7,10.7,2.9,-3.3,-4.7,4.9,27679,Av_Temp
1984,-7.2,-13.3,-3.9,5.1,17.7,17.8,20.5,15.0,12.3,4.3,-5.1,-14.2,4.1,27679,Av_Temp
1985,-11.8,-14.7,-7.0,3.4,13.1,15.4,17.5,19.2,10.7,3.6,-3.4,-9.3,3.1,27679,Av_Temp
1986,-10.1,-17.2,-3.8,8.6,11.8,18.2,17.4,16.8,9.5,3.0,-4.5,-11.5,3.2,27679,Av_Temp
1987,-19.8,-8.8,-7.5,1.2,15.0,19.7,17.3,15.7,8.9,1.8,-7.7,-10.6,2.1,27679,Av_Temp
1988,-11.8,-9.8,-4.0,5.0,13.4,19.5,22.7,18.1,10.2,4.4,-8.1,-10.2,4.1,27679,Av_Temp
1989,-8.0,-5.6,-2.9,5.3,12.7,21.3,19.6,16.9,11.7,4.9,-3.9,-6.7,5.4,27679,Av_Temp
1990,-10.1,-3.3,0.0,7.5,10.6,14.5,18.3,15.6,9.7,3.6,-2.5,-6.6,4.8,27679,Av_Temp
1991,-9.4,-9.4,-5.1,6.9,14.6,20.7,19.4,15.6,11.1,7.8,-2.9,-9.5,5.0,27679,Av_Temp
1992,-8.7,-9.9,-2.8,6.1,11.2,17.1,18.0,17.7,13.2,2.4,-2.6,-6.5,4.6,27679,Av_Temp
1993,-7.0,-10.3,-5.6,4.7,14.1,15.2,18.5,15.9,7.1,3.4,-11.0,-7.0,3.2,27679,Av_Temp
1994,-6.6,-16.4,-6.6,5.2,11.8,15.4,16.1,15.5,14.0,4.8,-3.3,-10.2,3.3,27679,Av_Temp
1995,-9.1,-3.7,-1.6,10.9,16.1,20.5,18.7,17.1,13.4,5.9,-2.3,-11.5,6.2,27679,Av_Temp
1996,-13.6,-12.1,-6.9,2.8,16.6,17.9,19.8,17.6,10.5,3.7,1.2,-10.2,3.9,27679,Av_Temp
1997,-13.4,-9.1,-3.4,5.0,12.2,20.2,18.2,16.8,10.0,4.1,-3.7,-11.0,3.8,27679,Av_Temp
1998,-9.6,-13.0,-2.9,1.7,13.9,21.2,20.6,16.8,11.6,4.9,-9.0,-7.2,4.1,27679,Av_Temp
1999,-7.9,-7.0,-5.3,7.5,8.7,19.7,21.0,16.4,11.0,6.9,-8.3,-4.8,4.8,27679,Av_Temp
2000,-7.9,-5.3,-3.1,8.5,8.6,17.3,20.4,17.1,10.4,5.1,-3.7,-6.1,5.1,27679,Av_Temp
2001,-5.2,-8.6,-3.0,8.5,13.2,16.4,21.9,17.0,12.6,3.2,-1.0,-12.2,5.2,27679,Av_Temp
2002,-7.3,-2.0,-0.0,5.4,10.7,16.4,22.9,15.7,12.4,3.6,-1.2,-17.5,4.9,27679,Av_Temp
2003,-9.6,-11.5,-6.3,5.1,14.4,13.3,20.1,18.3,11.5,5.3,-0.6,-3.9,4.7,27679,Av_Temp
2004,-8.1,-9.9,-0.4,3.2,13.6,16.6,19.6,18.6,13.0,4.6,-1.2,-6.5,5.3,27679,Av_Temp
2005,-6.6,-11.6,-8.5,5.9,16.3,16.7,18.9,17.9,13.3,6.0,0.5,-4.8,5.3,27679,Av_Temp
2006,-15.6,-15.5,-5.5,5.9,12.9,19.7,17.2,18.3,13.0,5.2,-2.4,-2.4,4.2,27679,Av_Temp
2007,-3.0,-13.9,-0.6,5.3,15.4,16.3,19.4,21.9,12.4,6.0,-4.4,-9.8,5.4,27679,Av_Temp
2008,-11.1,-5.8,0.9,9.5,12.7,15.7,20.2,19.3,10.4,7.7,1.3,-5.1,6.3,27679,Av_Temp
2009,-10.0,-8.5,-2.3,4.5,13.8,19.6,20.1,16.9,15.1,6.4,-1.2,-10.4,5.3,27679,Av_Temp
2010,-17.0,-12.7,-4.5,7.1,17.1,21.1,25.6,22.8,12.8,3.1,1.7,-8.6,5.7,27679,Av_Temp
2011,-12.2,-16.2,-6.5,3.7,13.9,16.3,22.5,18.2,11.5,5.6,-4.2,-5.4,3.9,27679,Av_Temp
2012,-10.5,-15.3,-5.8,9.6,15.5,18.3,20.2,18.9,12.0,6.9,-0.2,-10.6,4.9,27679,Av_Temp
2013,-10.5,-8.0,-7.1,6.3,16.0,19.2,19.3,18.6,10.9,4.9,2.6,-4.3,5.7,27679,Av_Temp
2014,-10.8,-8.7,-1.4,4.9,16.6,16.5,19.3,18.9,11.9,1.8,-3.5,-5.9,5.0,27679,Av_Temp
2015,-9.0,-6.2,-2.2,4.3,15.8,19.9,18.4,16.0,15.5,2.2,-1.1,-2.9,5.9,27679,Av_Temp
2016,-11.9,-2.5,-1.5,7.9,14.9,17.8,20.7,21.6,10.5,3.8,-4.3,-10.0,5.6,27679,Av_Temp
2017,-11.0,-7.4,-1.1,4.9,11.3,14.7,18.6,18.5,11.8,4.0,-1.2,-3.5,5.0,27679,Av_Temp
2018,-9.1,-12.1,-9.2,5.2,14.8,16.2,21.3,19.6,14.1,6.1,-3.7,-8.2,4.6,27679,Av_Temp
2019,-10.8,-6.3,-1.7,6.6,16.1,18.8,17.3,15.5,10.5,8.1,-2.1,-4.1,5.7,27679,Av_Temp
